KPP,HydrSk
Velká města,---
Nevyvinutá půda,D
Nevyvinutá půda,D
Rendzina (typická),BC
Rendzina hnědá,BC
Rendzina (typická) pararendzina,BC
"Rendzina hnědá, pararendzina hnědá",BC
"Rendzina oglejená, pararendzina oglejená",D
Černozem (typická),B
Drnová půda Černozemní,A
"Černozem smonica, Černozem typická (litogenní varieta",D
Černozem degradovaná,B
Černozem lužní,C
Lužní půda (typická),C
Lužní půda (typická),D
Lužní půda glejová,CD
Černozem illimerizovaná,B
Hnědozem černozemní,B
Hnědozem (typická),B
Hnědozem illimerizovaná,B
Hnědozem oglejená,B
Illimerizovaná půda (typická),BC
Illimerizovaná půda (litogenní varieta),A(B)
Illimerizovaná půda oglejená,BC
Hnědá půda (typická),B
"Drnová půda, hnědá půda (litogenní varieta)",A
Hnědá půda (litogenní varieta),DC
Hnědá půda eutrofní,BC
Hnědá půda oglejená,BC
Hnědá půda kyselá,BC
Hnědá půda kyselá (litogenní varieta),A(B)
Hnědá půda kyselá oglejená,B
"Hnědá půda silně kyselá, hnědá půda dystrická",B
"Hnědá půda silně kyselá, (litogenní varieta)",A(B)
Podzolová půda (litogenní varieta),A(B)
Hnědá půda podzolovaná,B
Oglejená půda,C
Glejová půda,C
Glejová půda zrašelinělá,CD
Rašelinová půda,C
Nivní půda (typická),B
Nivní půda glejová,C
Antropogenní půda,---
Výsypka,---
"Lom, povrchový důl",---
Velké vodní plochy,---
Lužní půda (typická),B
"Nivní půda (typická, litogenní varieta)",B
Hnědá půda illimerizovaná,(B)C
Podzolová půda,B
Oglejená půda illimerizovaná,C
Oglejená půda zbažinělá,C
Černozem smonica,D
