LU_HydrSk,CN
AZP_0,99
AZP_A,76
AZP_AB,78
AZP_B,85
AZP_BC,87
AZP_C,89
AZP_CD,90
AZP_D,91
C_0,99
C_A,76
C_AB,80
C_B,85
C_BC,87
C_C,89
C_CD,90
C_D,91
CH_B,78
CH_BC,81
CH_CD,87
KP_0,99
KP_A,35
KP_AB,45
KP_B,56
KP_BC,63
KP_C,70
KP_CD,73
KP_D,77
LP_0,99
LP_A,36
LP_AB,48
LP_B,60
LP_BC,66
LP_C,73
LP_CD,76
LP_D,79
OP_0,99
OP_A,71
OP_AB,75
OP_B,80
OP_BC,83
OP_C,87
OP_CD,88
OP_D,90
S_0,99
S_A,43
S_AB,54
S_B,65
S_BC,70
S_C,76
S_CD,79
S_D,82
TP_0,99
TP_A,49
TP_AB,59
TP_B,69
TP_BC,74
TP_C,79
TP_CD,82
TP_D,84
V_BC,75
V_CD,80
VP_0,99
VP_A,99
VP_AB,99
VP_B,99
VP_BC,99
VP_C,99
VP_CD,99
VP_D,99
Z_0,99
Z_A,40
Z_AB,51
Z_B,62
Z_BC,67
Z_C,73
Z_CD,76
Z_D,79
